Income,Account,Amount,Date,Notes
Srkp web payment,N7 Main Account,5000,2025-09-25,Nifal
Wekitch advance,N7 Main Account,1650,2025-10-01,
Gravio branding adv,N7 Main Account,7500,2025-10-02,
Advance from Vishnu,N7 Main Account,1000,2025-10-08,
Coreshack advance,N7 Main Account,8000,2025-10-09,
Ajmal 30%,N7 Main Account,4500,2025-10-21,
Haleem pending,N7 Main Account,1100,2025-10-24,
Coreshack Advance Pending,N7 Main Account,1250,2025-10-27,
Ajmal pending 20%,N7 Main Account,3000,2025-11-07,
Vishnu Pending advance,N7 Main Account,4000,2025-11-13,
Shikhin domain price,N7 Main Account,2713.80,2025-12-02,
Shikhin domain offer price,N7 Main Account,114,2025-12-02,
Wahad Shay first cycle payment,N7 Main Account,10000,2025-12-08,
Coreshack pending amount,N7 Main Account,9500,2025-12-09,
GIS Advance Payment,N7 Main Account,35000,2025-12-16,
Advance of Branding (Irshad),N7 Main Account,4000,2025-12-30,
Nas Foods (AI character video),N7 Main Account,2000,2026-01-19,
Ladies Planet Advance,N7 Main Account,20000,2026-01-20,
Gravio packet design advance,N7 Main Account,7000,2026-01-26,
Faizal Shopify fix,N7 Main Account,5000,2026-02-03,
GIS pending amount,N7 Main Account,35000,2026-02-11,
Weldex Branding pending Amount,N7 Main Account,4000,2026-02-10,1k pending - Minhaj
IABUD Branding Feb Advance,N7 Main Account,30900,2026-02-12,
Jouhar (MyG) AI video amount,N7 Main Account,2500,2026-02-16,
IABUD pending amount,N7 Main Account,31781.53,2026-03-10,
Ajmal Domain,N7 Main Account,3363,2026-03-26,
Interest credited,N7 Main Account,233,2026-03-29,
Bmado advance,N7 Main Account,23500,2026-04-21,
Bmado Project (30%) fund,N7 Main Account,13500,2026-05-13,
